coordinate,mRID,businessType,psrType,resourceName,startTime,endTime,position,quantity,,export from https://transparency.entsoe.eu/generation/r2/actualGenerationPerGenerationUnit/show
"52.4192836, 9.6477413",11WD2HANN5C---1X,A01,B05,Block 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,116,,"Hannover GKH (Gemeinschaftskraftwerk),"
"53.059155, 8.873244",11W0-0000-0494-T,A01,B04,KW Hastedt BHKW,2024-11-13T00:00Z,2024-11-14T00:00Z,1,35,,
"52.441544, 10.765079",11W0-0000-0670-2,A01,B04,Gasturbine 50,2024-11-13T00:00Z,2024-11-14T00:00Z,1,99,,"Wolfsburg GuD West Gasturbine 50,("
"52.4192836, 9.6477413",11WD2HANN5C---2V,A01,B05,Block 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,121,,"Hannover GKH (Gemeinschaftskraftwerk), ("
"50.098779, 8.655656",11WD2FFW4000020J,A01,B04,HKW West Block 4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,64,,
"53.565866, 8.146202",11WD2WILH0001255,A01,B05,DEWHV______1_____ ,2024-11-13T00:00Z,2024-11-14T00:00Z,1,704,,
"52.315108, 10.093756",11WD2MEHR2CSWHCZ,A01,B05,Block 3,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,"Mehrum C,("
"48.114, 11.556",11WD2S1G2000097U,A01,B04,Sued GuD1 GT2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"48.114, 11.556",11WD2S2610001015,A01,B04,Sued GuD2 GT61,2024-11-13T00:00Z,2024-11-14T00:00Z,1,129,,
"48.114, 11.556",11WD2S1G3000098K,A01,B04,Sued GuD1 GT3,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"52.44387, 10.760007",11W0-0000-0669-G,A01,B04,Gasturbine 40,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"52.398805, 9.680929",11WD2HERR5G----G,A01,B04,Block B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"48.114, 11.556",11WD2S262000102W,A01,B04,Sued GuD2 GT62,2024-11-13T00:00Z,2024-11-14T00:00Z,1,127,,
"49.4208, 11.007",11WD2GE2D000056A,A01,B04,Franken I Block 2 + GT,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"53.12891, 8.68524",11WD2GKBK000335V,A01,B04,GKB Mittelsbueren GuD,2024-11-13T00:00Z,2024-11-14T00:00Z,1,456,,
"49.4208, 11.007",11WD2GEB1000055R,A01,B04,Franken I Block 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"54.341258, 10.178023",11W0-0000-0163-M,A01,B04,KÃ¼stenkraftwerk,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.1678, 9.047",11WD2W2M20000748,A01,B10,Waldeck II M6,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.2689, 10.9682",11WD2SIM2000159W,A01,B12,Maschine 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,"AL?DE? SILZ-M2_TIWAG Silz-M2,"
"47.2061, 11.0046",11WD2KUM2000162B,A01,B10,Maschine 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,AL? DE?
"51.1678, 9.0470",11WD2W2M1000073I,A01,B10,Waldeck II M5,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"53.18969, 8.40869",11WD2HUNT0000644,A01,B04,Huntorf GT,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.2061, 11.0046",11WD2KUM1000161L,A01,B10,Maschine 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,AL? DE?
"47.2689, 10.9682",11WD2SIM10001585,A01,B12,Maschine 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,AL? DE?
"48.114, 11.556",11WD2S260000100F,A01,B04,Sued GuD2 DT60,2024-11-13T00:00Z,2024-11-14T00:00Z,1,75,,
"48.18621, 12.84577",11WD2BURG000145R,A01,B04,GuD-Block,2024-11-13T00:00Z,2024-11-14T00:00Z,1,16,,
"48.181171, 11.639797",11WD2NOR20001055,A01,B04,Nord 2 T20,2024-11-13T00:00Z,2024-11-14T00:00Z,1,92,,"SWM HKW Nord,48.181171, 11.639797"
"48.767, 11.58",11WD2IRG4000061X,A01,B04,Irsching 4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,590,,
"48.767, 11.58",11WD2IRG5000062N,A01,B04,Irsching 5,2024-11-13T00:00Z,2024-11-14T00:00Z,1,766,,
